Number of blocks,Time,Algorithm,Plan length
21,36.00645065307617,PERFECT,23
21,10.003805160522461,PERFECT,32
21,6.999969482421875,PERFECT,29
21,7.001638412475586,PERFECT,23
21,9.002208709716797,PERFECT,29
22,40.009260177612305,PERFECT,25
22,72.01480865478516,PERFECT,27
22,10.003089904785156,PERFECT,32
22,45.009613037109375,PERFECT,30
22,10.003089904785156,PERFECT,34
22,8.001089096069336,PERFECT,31
22,8.00180435180664,PERFECT,24
22,89.0202522277832,PERFECT,36
22,77.01730728149414,PERFECT,28
22,11.003494262695312,PERFECT,34
23,115.02599716186523,PERFECT,33
23,75.01626014709473,PERFECT,28
23,11.00301742553711,PERFECT,29
23,49.01385307312012,PERFECT,29
23,9.002447128295898,PERFECT,33
23,10.002374649047852,PERFECT,31
23,74.01609420776367,PERFECT,27
23,39.00909423828125,PERFECT,27
23,13.002157211303711,PERFECT,34
23,156.0366153717041,PERFECT,27
24,13.002395629882812,PERFECT,37
24,54.01206016540527,PERFECT,34
24,111.02557182312012,PERFECT,34
24,52.01125144958496,PERFECT,30
24,30.00664710998535,PERFECT,38
24,132.02953338623047,PERFECT,36
24,51.01203918457031,PERFECT,31
24,94.02155876159668,PERFECT,37
24,135.02979278564453,PERFECT,31
24,89.0195369720459,PERFECT,33
25,175.03929138183594,PERFECT,34
25,112.02549934387207,PERFECT,40
25,15.003442764282227,PERFECT,38
25,11.00301742553711,PERFECT,32
25,54.01134490966797,PERFECT,31
25,50.011396408081055,PERFECT,27
25,57.01327323913574,PERFECT,33
25,151.0336399078369,PERFECT,35
25,56.01167678833008,PERFECT,31
25,111.02557182312012,PERFECT,31
26,57.97553062438965,PERFECT,34
26,22.00603485107422,PERFECT,40
26,183.04204940795898,PERFECT,36
26,97.02181816101074,PERFECT,37
26,12.004375457763672,PERFECT,34
26,121.02627754211426,PERFECT,34
26,11.003494262695312,PERFECT,32
26,12.00246810913086,PERFECT,36
26,132.03001022338867,PERFECT,35
26,11.002540588378906,PERFECT,34
27,1394.601821899414,PERFECT,45
27,88.01984786987305,PERFECT,40
27,15.003681182861328,PERFECT,39
27,107.02347755432129,PERFECT,32
27,70.01662254333496,PERFECT,37
27,71.0148811340332,PERFECT,38
27,146.03352546691895,PERFECT,41
27,17.003536224365234,PERFECT,40
27,66.01500511169434,PERFECT,34
27,347.0776081085205,PERFECT,40
28,180.04107475280762,PERFECT,44
28,104.02297973632812,PERFECT,33
28,14.00303840637207,PERFECT,38
28,14.003276824951172,PERFECT,35
28,17.00425148010254,PERFECT,41
28,62.01362609863281,PERFECT,35
