Number of blocks,Time,Algorithm,Plan length
10,0.9996891021728516,GN2,8
10,0.0,GN2,12
10,0.0,GN2,11
10,0.0,GN2,9
10,0.0,GN2,11
10,0.0,GN2,14
10,0.0,GN2,12
10,0.0,GN2,15
10,0.0,GN2,12
10,0.0,GN2,11
1000,13.00358772277832,GN2,1822
1000,14.002799987792969,GN2,1820
1000,13.003110885620117,GN2,1860
1000,13.002395629882812,GN2,1873
1000,13.002634048461914,GN2,1840
1000,13.002872467041016,GN2,1843
1000,13.003349304199219,GN2,1842
1000,13.002872467041016,GN2,1832
1000,13.002634048461914,GN2,1838
1000,33.007144927978516,GN2,1849
10000,152.03428268432617,GN2,19436
10000,187.0419979095459,GN2,19310
10000,152.03619003295898,GN2,19346
10000,152.96244621276855,GN2,19366
10000,186.04159355163574,GN2,19413
10000,151.03387832641602,GN2,19346
10000,151.03411674499512,GN2,19370
10000,185.0411891937256,GN2,19411
10000,151.0334014892578,GN2,19368
10000,189.0428066253662,GN2,19410
10250,156.0349464416504,GN2,19837
10250,161.03601455688477,GN2,19901
10250,189.0425682067871,GN2,19930
10250,163.03730010986328,GN2,19833
10250,164.03675079345703,GN2,19895
10250,195.04380226135254,GN2,19866
10250,159.03592109680176,GN2,19830
10250,156.0351848602295,GN2,19894
10250,192.0449733734131,GN2,19857
10250,162.03618049621582,GN2,19918
10500,204.04577255249023,GN2,20371
10500,211.04788780212402,GN2,20355
10500,165.03667831420898,GN2,20246
10500,198.045015335083,GN2,20332
10500,196.0456371307373,GN2,20340
10500,170.03822326660156,GN2,20303
10500,197.04437255859375,GN2,20354
10500,192.04425811767578,GN2,20358
10500,165.0371551513672,GN2,20376
10500,199.04565811157227,GN2,20362
10750,233.0160140991211,GN2,20839
10750,169.03996467590332,GN2,20896
10750,204.04672622680664,GN2,20849
10750,198.0440616607666,GN2,20864
10750,164.03675079345703,GN2,20816
10750,167.0377254486084,GN2,20884
10750,199.9819278717041,GN2,20806
10750,170.03798484802246,GN2,20867
10750,174.26061630249023,GN2,20831
10750,201.04575157165527,GN2,20869
11,1.0001659393310547,GN2,12
11,0.0,GN2,17
11,0.0,GN2,9
11,0.0,GN2,17
11,0.0,GN2,10
11,0.0,GN2,15
11,0.0,GN2,15
11,0.0,GN2,12
11,1.0004043579101562,GN2,15
11,0.0,GN2,16
11000,171.0376739501953,GN2,21320
11000,172.03855514526367,GN2,21353
11000,207.04913139343262,GN2,21384
11000,173.03919792175293,GN2,21338
11000,171.03838920593262,GN2,21431
11000,203.04584503173828,GN2,21395
11000,203.04465293884277,GN2,21325
11000,170.03846168518066,GN2,21360
11000,209.53917503356934,GN2,21288
11000,204.04672622680664,GN2,21378
11250,184.04197692871094,GN2,21872
11250,174.8816967010498,GN2,21846
11250,206.04610443115234,GN2,21804
11250,175.03952980041504,GN2,21832
11250,174.03912544250488,GN2,21788
11250,210.04652976989746,GN2,21846
11250,207.0467472076416,GN2,21837
11250,173.03824424743652,GN2,21754
11250,175.03976821899414,GN2,21858
11250,219.04802322387695,GN2,21796
11500,184.04078483581543,GN2,22367
11500,180.0403594970703,GN2,22341
11500,213.05060386657715,GN2,22245
11500,212.04829216003418,GN2,22306
11500,182.88421630859375,GN2,22312
11500,183.04133415222168,GN2,22325
11500,214.04719352722168,GN2,22265
11500,218.0485725402832,GN2,22394
11500,185.04095077514648,GN2,22372
11500,225.050687789917,GN2,22220
11750,220.04985809326172,GN2,22871
11750,183.04109573364258,GN2,22826
11750,193.04299354553223,GN2,22749
11750,218.0492877960205,GN2,22892
11750,220.05009651184082,GN2,22787
11750,204.04982566833496,GN2,22868
11750,191.04242324829102,GN2,22786
11750,225.04949569702148,GN2,22756
11750,215.04878997802734,GN2,22839
11750,186.92326545715332,GN2,22804
12,0.0,GN2,14
12,0.9999275207519531,GN2,15
12,0.0,GN2,15
12,0.0,GN2,16
12,0.0,GN2,11
12,0.0,GN2,18
12,0.0,GN2,18
12,0.0,GN2,13
12,0.0,GN2,19
12,1.0004043579101562,GN2,14
12000,197.04365730285645,GN2,23320
12000,222.05018997192383,GN2,23302
